Instance(0): 	 4.489258 5.368164 0.998947 
Instance(78): 	 4.735352 5.333008 1.000000 
Instance(79): 	 4.541992 5.350586 0.999747 
Instance(80): 	 4.911133 5.420898 0.999982 
Instance(81): 	 4.682617 5.420898 0.999936 
Instance(82): 	 4.735352 5.561523 0.996401 
Instance(83): 	 4.665039 5.403320 0.999964 
Instance(84): 	 4.788086 5.368164 0.999998 
Instance(85): 	 4.577148 5.438477 0.999748 
Instance(86): 	 4.805664 5.420898 0.999964 
Instance(87): 	 4.682617 5.438477 0.999878 
Instance(88): 	 4.665039 5.420898 0.999930 
Instance(89): 	 4.735352 5.368164 0.999996 
Instance(90): 	 4.805664 5.473633 0.999672 
Instance(91): 	 4.823242 5.403320 0.999987 
Instance(92): 	 4.700195 5.543945 0.997663 
Instance(93): 	 4.858398 5.473633 0.999697 
Instance(94): 	 4.805664 5.403320 0.999985 
Instance(95): 	 4.858398 5.456055 0.999854 
Instance(96): 	 4.788086 5.473633 0.999664 
Instance(97): 	 4.612305 5.350586 0.999976 
Instance(98): 	 4.788086 5.543945 0.997370 
Instance(99): 	 4.577148 5.508789 0.998911 
Instance(100): 	 4.893555 5.456055 0.999870 
Instance(101): 	 4.629883 5.456055 0.999745 
Instance(102): 	 4.770508 5.543945 0.997437 
Instance(103): 	 4.770508 5.456055 0.999816 
Instance(104): 	 4.665039 5.385742 0.999982 
Instance(105): 	 4.629883 5.438477 0.999848 
Instance(106): 	 4.577148 5.420898 0.999818 
Instance(107): 	 4.770508 5.456055 0.999816 
Instance(108): 	 4.752930 5.420898 0.999953 
Instance(109): 	 4.840820 5.614258 0.986955 
Instance(110): 	 4.665039 5.403320 0.999964 
Instance(111): 	 4.577148 5.526367 0.998450 
Instance(112): 	 4.700195 5.438477 0.999885 
Instance(113): 	 4.612305 5.456055 0.999724 
Instance(114): 	 4.612305 5.350586 0.999976 
Instance(115): 	 4.735352 5.385742 0.999990 
Instance(116): 	 4.788086 5.438477 0.999913 
Instance(117): 	 4.682617 5.543945 0.997710 
Instance(118): 	 4.770508 5.403320 0.999981 
Instance(119): 	 4.823242 5.456055 0.999839 
Instance(120): 	 4.840820 5.456055 0.999846 
Instance(121): 	 4.717773 5.438477 0.999891 
Instance(122): 	 4.752930 5.438477 0.999902 
Instance(123): 	 4.541992 5.403320 0.999681 
Instance(124): 	 4.840820 5.473633 0.999688 
Instance(125): 	 4.700195 5.456055 0.999788 
Instance(126): 	 4.805664 5.403320 0.999985 
Instance(127): 	 4.770508 5.473633 0.999657 
Instance(128): 	 4.858398 5.438477 0.999935 
Instance(129): 	 4.541992 5.473633 0.999288 
Instance(130): 	 4.875977 5.333008 1.000000 
Instance(131): 	 4.735352 5.508789 0.998986 
Instance(132): 	 4.735352 5.491211 0.999384 
Instance(133): 	 4.858398 5.333008 1.000000 
Instance(134): 	 4.752930 5.420898 0.999953 
Instance(135): 	 4.805664 5.438477 0.999919 
Instance(136): 	 4.770508 5.403320 0.999981 
Instance(137): 	 4.700195 5.420898 0.999941 
Instance(138): 	 4.788086 5.456055 0.999824 
Instance(139): 	 4.717773 5.438477 0.999891 
Instance(140): 	 4.717773 5.508789 0.998991 
Instance(141): 	 4.840820 5.456055 0.999846 
Instance(142): 	 4.665039 5.385742 0.999982 
Instance(143): 	 4.752930 5.403320 0.999979 
Instance(144): 	 4.682617 5.508789 0.998999 
Instance(145): 	 4.541992 5.456055 0.999449 
Instance(146): 	 4.840820 5.456055 0.999846 
Instance(147): 	 4.805664 5.473633 0.999672 
Instance(148): 	 4.629883 5.403320 0.999948 
Instance(149): 	 4.682617 5.456055 0.999780 
Instance(150): 	 4.665039 5.403320 0.999964 
Instance(151): 	 4.612305 5.473633 0.999563 
Instance(152): 	 4.682617 5.438477 0.999878 
Instance(153): 	 4.682617 5.403320 0.999968 
Instance(154): 	 4.858398 5.315430 1.000000 
Instance(155): 	 4.823242 5.473633 0.999680 
Instance(156): 	 4.805664 5.491211 0.999400 
Instance(157): 	 4.647461 5.508789 0.999000 
Instance(158): 	 4.735352 5.333008 1.000000 
Instance(159): 	 4.805664 5.368164 0.999998 
Instance(160): 	 4.612305 5.385742 0.999956 
Instance(161): 	 4.665039 5.491211 0.999365 
Instance(162): 	 4.770508 5.403320 0.999981 
Instance(163): 	 4.506836 5.491211 0.998663 
Instance(164): 	 4.805664 5.333008 1.000000 
Instance(165): 	 4.805664 5.438477 0.999919 
Instance(166): 	 4.700195 5.508789 0.998996 
Instance(167): 	 4.788086 5.456055 0.999824 
Instance(168): 	 4.629883 5.438477 0.999848 
Instance(169): 	 4.788086 5.456055 0.999824 
Instance(170): 	 4.770508 5.473633 0.999657 
Instance(171): 	 4.700195 5.543945 0.997663 
Instance(172): 	 4.647461 5.403320 0.999958 
Instance(173): 	 4.805664 5.368164 0.999998 
Instance(174): 	 4.665039 5.473633 0.999611 
Instance(175): 	 4.700195 5.420898 0.999941 
Instance(176): 	 4.770508 5.350586 0.999999 
Instance(177): 	 4.735352 5.420898 0.999949 
Instance(178): 	 4.770508 5.403320 0.999981 
Instance(179): 	 4.717773 5.508789 0.998991 
Instance(180): 	 4.665039 5.403320 0.999964 
Instance(181): 	 4.840820 5.438477 0.999930 
Instance(182): 	 4.735352 5.438477 0.999897 
Instance(183): 	 4.541992 5.385742 0.999712 
Instance(184): 	 4.805664 5.315430 1.000000 
Instance(185): 	 4.805664 5.473633 0.999672 
Instance(186): 	 4.840820 5.350586 1.000000 
Instance(187): 	 4.752930 5.333008 1.000000 
Instance(188): 	 4.788086 5.385742 0.999994 
Instance(189): 	 4.840820 5.403320 0.999989 
Instance(190): 	 4.665039 5.438477 0.999871 
Instance(191): 	 4.752930 5.403320 0.999979 
Instance(192): 	 4.805664 5.385742 0.999995 
Instance(193): 	 4.752930 5.438477 0.999902 
Instance(194): 	 4.665039 5.491211 0.999365 
Instance(195): 	 4.805664 5.368164 0.999998 
Instance(196): 	 4.647461 5.403320 0.999958 
Instance(197): 	 4.858398 5.420898 0.999974 
Instance(198): 	 4.770508 5.456055 0.999816 
Instance(199): 	 4.541992 5.438477 0.999559 
Instance(200): 	 4.700195 5.368164 0.999994 
Instance(201): 	 4.770508 5.491211 0.999392 
Instance(202): 	 4.805664 5.456055 0.999831 
Instance(203): 	 4.541992 5.491211 0.999057 
Instance(204): 	 4.752930 5.385742 0.999991 
Instance(205): 	 4.594727 5.456055 0.999691 
Instance(206): 	 4.805664 5.420898 0.999964 
Instance(207): 	 4.489258 5.491211 0.998344 
Instance(208): 	 4.770508 5.456055 0.999816 
Instance(209): 	 4.752930 5.350586 0.999999 
Instance(210): 	 4.612305 5.438477 0.999828 
Instance(211): 	 4.717773 5.350586 0.999998 
Instance(212): 	 4.770508 5.456055 0.999816 
Instance(213): 	 4.805664 5.403320 0.999985 
Instance(214): 	 4.735352 5.403320 0.999977 
Instance(215): 	 4.682617 5.420898 0.999936 
Instance(216): 	 4.823242 5.473633 0.999680 
Instance(217): 	 4.735352 5.491211 0.999384 
Instance(218): 	 4.717773 5.420898 0.999945 
Instance(219): 	 4.735352 5.456055 0.999802 
Instance(220): 	 4.717773 5.420898 0.999945 
Instance(221): 	 4.612305 5.473633 0.999563 
Instance(222): 	 4.700195 5.526367 0.998442 
Instance(223): 	 4.647461 5.420898 0.999922 
Instance(224): 	 4.629883 5.491211 0.999345 
Instance(225): 	 4.752930 5.385742 0.999991 
Instance(226): 	 4.717773 5.385742 0.999989 
Instance(227): 	 4.840820 5.333008 1.000000 
Instance(228): 	 4.629883 5.438477 0.999848 
Instance(229): 	 4.612305 5.420898 0.999893 
Instance(230): 	 4.665039 5.403320 0.999964 
Instance(231): 	 4.805664 5.491211 0.999400 
Instance(232): 	 4.770508 5.420898 0.999957 
Instance(233): 	 4.629883 5.438477 0.999848 
Instance(234): 	 4.717773 5.368164 0.999995 
Instance(235): 	 4.823242 5.456055 0.999839 
Instance(236): 	 4.647461 5.297852 0.999998 
Instance(237): 	 4.665039 5.385742 0.999982 
Instance(238): 	 4.735352 5.420898 0.999949 
Instance(239): 	 4.524414 5.473633 0.999121 
Instance(240): 	 4.700195 5.385742 0.999987 
Instance(241): 	 4.700195 5.403320 0.999971 
Instance(242): 	 4.647461 5.420898 0.999922 
Instance(243): 	 4.647461 5.385742 0.999977 
Instance(244): 	 4.735352 5.508789 0.998986 
Instance(245): 	 4.717773 5.385742 0.999989 
Instance(246): 	 4.612305 5.491211 0.999325 
Instance(247): 	 4.594727 5.333008 0.999962 
Instance(248): 	 4.682617 5.403320 0.999968 
Instance(249): 	 4.647461 5.385742 0.999977 
Instance(250): 	 4.735352 5.473633 0.999642 
Instance(251): 	 4.788086 5.473633 0.999664 
Instance(252): 	 4.805664 5.333008 1.000000 
Instance(253): 	 4.700195 5.456055 0.999788 
Instance(254): 	 4.717773 5.456055 0.999795 
Instance(255): 	 4.682617 5.438477 0.999878 
Instance(256): 	 4.682617 5.420898 0.999936 
Instance(257): 	 4.700195 5.456055 0.999788 
Instance(258): 	 4.823242 5.456055 0.999839 
Instance(259): 	 4.647461 5.438477 0.999861 
Instance(260): 	 4.735352 5.438477 0.999897 
Instance(261): 	 4.788086 5.420898 0.999960 
Instance(262): 	 4.717773 5.438477 0.999891 
Instance(263): 	 4.735352 5.473633 0.999642 
Instance(264): 	 4.682617 5.491211 0.999371 
Instance(265): 	 4.594727 5.456055 0.999691 
Instance(266): 	 4.752930 5.543945 0.997500 
Instance(267): 	 4.840820 5.403320 0.999989 
Instance(268): 	 4.665039 5.508789 0.999001 
Instance(269): 	 4.770508 5.403320 0.999981 
Instance(270): 	 4.858398 5.508789 0.998939 
Instance(271): 	 4.823242 5.508789 0.998954 
Instance(272): 	 4.682617 5.438477 0.999878 
Instance(273): 	 4.770508 5.350586 0.999999 
Instance(274): 	 4.770508 5.350586 0.999999 
Instance(275): 	 4.594727 5.438477 0.999797 
Instance(276): 	 4.788086 5.456055 0.999824 
Instance(277): 	 4.788086 5.579102 0.994237 
Instance(278): 	 4.823242 5.456055 0.999839 
Instance(279): 	 4.735352 5.526367 0.998397 
Instance(280): 	 4.875977 5.420898 0.999977 
Instance(281): 	 4.735352 5.420898 0.999949 
Instance(282): 	 4.840820 5.456055 0.999846 
Instance(283): 	 4.665039 5.438477 0.999871 
Instance(284): 	 4.840820 5.385742 0.999996 
Instance(285): 	 4.594727 5.473633 0.999530 
Instance(286): 	 4.788086 5.385742 0.999994 
Instance(287): 	 4.752930 5.368164 0.999997 
Instance(288): 	 4.805664 5.420898 0.999964 
Instance(289): 	 4.735352 5.385742 0.999990 
Instance(290): 	 4.735352 5.420898 0.999949 
Instance(291): 	 4.788086 5.456055 0.999824 
Instance(292): 	 4.735352 5.508789 0.998986 
Instance(293): 	 4.823242 5.543945 0.997221 
Instance(294): 	 4.770508 5.385742 0.999993 
Instance(295): 	 4.770508 5.403320 0.999981 
Instance(296): 	 4.752930 5.420898 0.999953 
Instance(297): 	 4.805664 5.456055 0.999831 
Instance(298): 	 4.875977 5.491211 0.999419 
Instance(299): 	 4.770508 5.385742 0.999993 
Instance(300): 	 4.717773 5.385742 0.999989 
Instance(301): 	 4.840820 5.508789 0.998947 
Instance(302): 	 4.770508 5.420898 0.999957 
Instance(303): 	 4.858398 5.403320 0.999991 
Instance(304): 	 4.577148 5.350586 0.999918 
Instance(305): 	 4.665039 5.403320 0.999964 
Instance(306): 	 4.700195 5.385742 0.999987 
Instance(307): 	 4.788086 5.473633 0.999664 
Instance(308): 	 4.823242 5.385742 0.999996 
Instance(309): 	 4.594727 5.438477 0.999797 
Instance(310): 	 4.665039 5.420898 0.999930 
Instance(311): 	 4.665039 5.385742 0.999982 
Instance(312): 	 4.770508 5.543945 0.997437 
Instance(313): 	 4.752930 5.473633 0.999649 
Instance(314): 	 4.805664 5.385742 0.999995 
Instance(315): 	 4.770508 5.456055 0.999816 
Instance(316): 	 4.735352 5.403320 0.999977 
Instance(317): 	 4.823242 5.350586 1.000000 
Instance(318): 	 4.752930 5.438477 0.999902 
Instance(319): 	 4.805664 5.456055 0.999831 
Instance(320): 	 4.682617 5.456055 0.999780 
Instance(321): 	 4.489258 5.368164 0.998947 
Instance(322): 	 4.858398 5.420898 0.999974 
Instance(323): 	 4.840820 5.403320 0.999989 
Instance(324): 	 4.700195 5.438477 0.999885 
Instance(325): 	 4.665039 5.368164 0.999991 
Instance(326): 	 4.735352 5.403320 0.999977 
Instance(327): 	 4.647461 5.438477 0.999861 
Instance(328): 	 4.612305 5.491211 0.999325 
Instance(329): 	 4.770508 5.403320 0.999981 
Instance(330): 	 4.840820 5.368164 0.999999 
Instance(331): 	 4.717773 5.526367 0.998421 
Instance(332): 	 4.770508 5.368164 0.999997 
Instance(333): 	 4.612305 5.438477 0.999828 
Instance(334): 	 4.717773 5.456055 0.999795 
Instance(335): 	 4.735352 5.420898 0.999949 
Instance(336): 	 4.647461 5.508789 0.999000 
Instance(337): 	 4.823242 5.403320 0.999987 
Instance(338): 	 4.805664 5.491211 0.999400 
Instance(339): 	 4.735352 5.350586 0.999999 
Instance(340): 	 4.805664 5.403320 0.999985 
Instance(341): 	 4.823242 5.438477 0.999925 
Instance(342): 	 4.735352 5.403320 0.999977 
Instance(343): 	 4.647461 5.456055 0.999760 
Instance(344): 	 4.770508 5.438477 0.999908 
Instance(345): 	 4.682617 5.456055 0.999780 
Instance(346): 	 4.770508 5.403320 0.999981 
Instance(347): 	 4.682617 5.368164 0.999993 
Instance(348): 	 4.823242 5.473633 0.999680 
Instance(349): 	 4.752930 5.420898 0.999953 
Instance(350): 	 4.700195 5.526367 0.998442 
Instance(351): 	 4.629883 5.456055 0.999745 
Instance(352): 	 4.752930 5.385742 0.999991 
Instance(353): 	 4.893555 5.350586 1.000000 
Instance(354): 	 4.805664 5.491211 0.999400 
Instance(355): 	 4.735352 5.438477 0.999897 
Instance(356): 	 4.752930 5.473633 0.999649 
Instance(357): 	 4.840820 5.385742 0.999996 
Instance(358): 	 4.682617 5.420898 0.999936 
Instance(359): 	 4.717773 5.385742 0.999989 
Instance(360): 	 4.823242 5.438477 0.999925 
Instance(361): 	 4.700195 5.508789 0.998996 
Instance(362): 	 4.788086 5.491211 0.999396 
Instance(363): 	 4.823242 5.438477 0.999925 
Instance(364): 	 4.840820 5.403320 0.999989 
Instance(365): 	 4.858398 5.420898 0.999974 
Instance(366): 	 4.682617 5.438477 0.999878 
Instance(367): 	 4.700195 5.368164 0.999994 
Instance(368): 	 4.682617 5.438477 0.999878 
Instance(369): 	 4.788086 5.403320 0.999983 
Instance(370): 	 4.594727 5.420898 0.999864 
Instance(371): 	 4.577148 5.420898 0.999818 
Instance(372): 	 4.383789 5.403320 0.992529 
Instance(373): 	 4.735352 5.420898 0.999949 
Instance(374): 	 4.788086 5.350586 0.999999 
Instance(375): 	 4.788086 5.420898 0.999960 
Instance(376): 	 4.752930 5.420898 0.999953 
Instance(377): 	 4.805664 5.473633 0.999672 
Instance(378): 	 4.541992 5.385742 0.999712 
Instance(379): 	 4.752930 5.456055 0.999809 
Instance(380): 	 4.823242 5.403320 0.999987 
Instance(381): 	 4.717773 5.420898 0.999945 
Instance(382): 	 4.665039 5.473633 0.999611 
Instance(383): 	 4.524414 5.473633 0.999121 
Instance(384): 	 4.612305 5.438477 0.999828 
Instance(385): 	 4.647461 5.420898 0.999922 
Instance(386): 	 4.682617 5.456055 0.999780 
Instance(387): 	 4.788086 5.508789 0.998968 
Instance(388): 	 4.752930 5.368164 0.999997 
Instance(389): 	 4.735352 5.526367 0.998397 
Instance(390): 	 4.682617 5.420898 0.999936 
Instance(391): 	 4.682617 5.385742 0.999985 
Instance(392): 	 4.682617 5.385742 0.999985 
Instance(393): 	 4.752930 5.456055 0.999809 
Instance(394): 	 4.506836 5.403320 0.999265 
Instance(395): 	 4.840820 5.473633 0.999688 
Instance(396): 	 4.735352 5.333008 1.000000 
Instance(397): 	 4.647461 5.385742 0.999977 
Instance(398): 	 4.700195 5.508789 0.998996 
Instance(399): 	 4.752930 5.420898 0.999953 
Instance(400): 	 4.647461 5.385742 0.999977 
Instance(401): 	 4.665039 5.438477 0.999871 
Instance(402): 	 4.524414 5.473633 0.999121 
Instance(403): 	 4.788086 5.420898 0.999960 
Instance(404): 	 4.682617 5.456055 0.999780 
Instance(405): 	 4.700195 5.491211 0.999376 
Instance(406): 	 4.752930 5.403320 0.999979 
Instance(407): 	 4.805664 5.385742 0.999995 
Instance(408): 	 4.735352 5.368164 0.999996 
Instance(409): 	 4.594727 5.403320 0.999906 
Instance(410): 	 4.735352 5.456055 0.999802 
Instance(411): 	 4.893555 5.438477 0.999946 
Instance(412): 	 4.682617 5.438477 0.999878 
Instance(413): 	 4.682617 5.420898 0.999936 
Instance(414): 	 4.805664 5.385742 0.999995 
Instance(415): 	 4.893555 5.491211 0.999425 
Instance(416): 	 4.840820 5.403320 0.999989 
Instance(417): 	 4.717773 5.368164 0.999995 
Instance(418): 	 4.823242 5.491211 0.999404 
Instance(419): 	 4.752930 5.420898 0.999953 
Instance(420): 	 4.770508 5.456055 0.999816 
Instance(421): 	 4.682617 5.403320 0.999968 
Instance(422): 	 4.629883 5.385742 0.999969 
Instance(423): 	 4.752930 5.403320 0.999979 
Instance(424): 	 4.717773 5.491211 0.999380 
Instance(425): 	 4.770508 5.333008 1.000000 
Instance(426): 	 4.735352 5.438477 0.999897 
Instance(427): 	 4.717773 5.508789 0.998991 
Instance(428): 	 4.717773 5.420898 0.999945 
Instance(429): 	 4.717773 5.438477 0.999891 
Instance(430): 	 4.647461 5.438477 0.999861 
Instance(431): 	 4.665039 5.561523 0.996772 
Instance(432): 	 4.840820 5.456055 0.999846 
Instance(433): 	 4.752930 5.491211 0.999388 
Instance(434): 	 4.700195 5.579102 0.995192 
Instance(435): 	 4.647461 5.368164 0.999988 
Instance(436): 	 4.612305 5.403320 0.999932 
Instance(437): 	 4.770508 5.491211 0.999392 
Instance(438): 	 4.682617 5.526367 0.998461 
Instance(439): 	 4.823242 5.473633 0.999680 
Instance(440): 	 4.717773 5.420898 0.999945 
Instance(441): 	 4.823242 5.473633 0.999680 
Instance(442): 	 4.629883 5.526367 0.998498 
Instance(443): 	 4.629883 5.420898 0.999911 
Instance(444): 	 4.788086 5.491211 0.999396 
Instance(445): 	 4.875977 5.456055 0.999862 
Instance(446): 	 4.805664 5.543945 0.997298 
Instance(447): 	 4.682617 5.350586 0.999997 
Instance(448): 	 4.788086 5.438477 0.999913 
Instance(449): 	 4.752930 5.403320 0.999979 
Instance(450): 	 4.594727 5.473633 0.999530 
Instance(451): 	 4.752930 5.456055 0.999809 
Instance(452): 	 4.770508 5.403320 0.999981 
Instance(453): 	 4.700195 5.385742 0.999987 
Instance(454): 	 4.770508 5.526367 0.998346 
Instance(455): 	 4.752930 5.420898 0.999953 
Instance(456): 	 4.770508 5.368164 0.999997 
Instance(457): 	 4.647461 5.350586 0.999993 
Instance(458): 	 4.911133 5.403320 0.999995 
Instance(459): 	 4.647461 5.333008 0.999996 
Instance(460): 	 4.770508 5.491211 0.999392 
Instance(461): 	 4.840820 5.438477 0.999930 
Instance(462): 	 4.858398 5.456055 0.999854 
Instance(463): 	 4.629883 5.491211 0.999345 
Instance(464): 	 4.840820 5.456055 0.999846 
Instance(465): 	 4.682617 5.403320 0.999968 
Instance(466): 	 4.770508 5.420898 0.999957 
Instance(467): 	 4.752930 5.350586 0.999999 
Instance(468): 	 4.823242 5.438477 0.999925 
Instance(469): 	 4.770508 5.473633 0.999657 
Instance(470): 	 4.823242 5.508789 0.998954 
Instance(471): 	 4.629883 5.456055 0.999745 
Instance(472): 	 4.735352 5.473633 0.999642 
Instance(473): 	 4.682617 5.403320 0.999968 
Instance(474): 	 4.665039 5.438477 0.999871 
Instance(475): 	 4.788086 5.420898 0.999960 
Instance(476): 	 4.735352 5.420898 0.999949 
Instance(477): 	 4.752930 5.491211 0.999388 
Instance(478): 	 4.735352 5.438477 0.999897 
Instance(479): 	 4.823242 5.438477 0.999925 
Instance(480): 	 4.770508 5.438477 0.999908 
Instance(481): 	 4.735352 5.420898 0.999949 
Instance(482): 	 4.788086 5.420898 0.999960 
Instance(483): 	 4.893555 5.456055 0.999870 
Instance(484): 	 4.788086 5.403320 0.999983 
Instance(485): 	 4.788086 5.420898 0.999960 
Instance(486): 	 4.682617 5.420898 0.999936 
Instance(487): 	 4.594727 5.438477 0.999797 
Instance(488): 	 4.665039 5.491211 0.999365 
Instance(489): 	 4.735352 5.420898 0.999949 
Instance(490): 	 4.647461 5.473633 0.999600 
Instance(491): 	 4.541992 5.456055 0.999449 
Instance(492): 	 4.770508 5.456055 0.999816 
Instance(493): 	 4.911133 5.473633 0.999724 
Instance(494): 	 4.647461 5.491211 0.999357 
Instance(495): 	 4.805664 5.438477 0.999919 
Instance(496): 	 4.717773 5.491211 0.999380 
Instance(497): 	 4.717773 5.543945 0.997613 
Instance(498): 	 4.875977 5.403320 0.999992 
Instance(499): 	 4.770508 5.526367 0.998346 
Instance(500): 	 4.682617 5.385742 0.999985 
Instance(501): 	 4.700195 5.403320 0.999971 
Instance(502): 	 4.788086 5.403320 0.999983 
Instance(503): 	 4.665039 5.438477 0.999871 
Instance(504): 	 4.805664 5.385742 0.999995 
Instance(505): 	 4.752930 5.456055 0.999809 
Instance(506): 	 4.840820 5.385742 0.999996 
Instance(507): 	 4.735352 5.438477 0.999897 
Instance(508): 	 4.735352 5.385742 0.999990 
Instance(509): 	 4.752930 5.508789 0.998980 
Instance(510): 	 4.770508 5.456055 0.999816 
Instance(511): 	 4.735352 5.438477 0.999897 
Instance(512): 	 4.577148 5.438477 0.999748 
Instance(513): 	 4.577148 5.456055 0.999641 
Instance(514): 	 4.700195 5.438477 0.999885 
Instance(515): 	 4.805664 5.456055 0.999831 
Instance(516): 	 4.752930 5.456055 0.999809 
Instance(517): 	 4.682617 5.385742 0.999985 
Instance(518): 	 4.770508 5.403320 0.999981 
Instance(519): 	 4.594727 5.508789 0.998954 
Instance(520): 	 4.735352 5.385742 0.999990 
Instance(521): 	 4.735352 5.420898 0.999949 
Instance(522): 	 4.823242 5.508789 0.998954 
Instance(523): 	 4.559570 5.368164 0.999840 
Instance(524): 	 4.700195 5.420898 0.999941 
Instance(525): 	 4.682617 5.420898 0.999936 
Instance(526): 	 4.840820 5.456055 0.999846 
Instance(527): 	 4.823242 5.420898 0.999967 
Instance(528): 	 4.770508 5.403320 0.999981 
Instance(529): 	 4.752930 5.543945 0.997500 
Instance(530): 	 4.752930 5.420898 0.999953 
Instance(531): 	 4.788086 5.315430 1.000000 
Instance(532): 	 4.682617 5.473633 0.999620 
Instance(533): 	 4.788086 5.368164 0.999998 
Instance(534): 	 4.489258 5.491211 0.998344 
Instance(535): 	 4.752930 5.473633 0.999649 
Instance(536): 	 4.700195 5.385742 0.999987 
Instance(537): 	 4.752930 5.350586 0.999999 
Instance(538): 	 4.788086 5.385742 0.999994 
Instance(539): 	 4.665039 5.456055 0.999771 
Instance(540): 	 4.805664 5.403320 0.999985 
Instance(541): 	 4.665039 5.473633 0.999611 
Instance(542): 	 4.858398 5.420898 0.999974 
Instance(543): 	 4.805664 5.385742 0.999995 
Instance(544): 	 4.577148 5.385742 0.999890 
Instance(545): 	 4.823242 5.473633 0.999680 
Instance(546): 	 4.665039 5.491211 0.999365 
Instance(547): 	 4.752930 5.561523 0.996289 
Instance(548): 	 4.770508 5.385742 0.999993 
Instance(549): 	 4.629883 5.491211 0.999345 
Instance(550): 	 4.647461 5.456055 0.999760 
Instance(551): 	 4.875977 5.403320 0.999992 
Instance(552): 	 4.788086 5.456055 0.999824 
Instance(553): 	 4.805664 5.438477 0.999919 
Instance(554): 	 4.682617 5.456055 0.999780 
Instance(555): 	 4.735352 5.403320 0.999977 
Instance(556): 	 4.823242 5.368164 0.999999 
Instance(557): 	 4.770508 5.438477 0.999908 
Instance(558): 	 4.735352 5.403320 0.999977 
