Instance(0): 	 4.665039 5.473633 0.999611 
Instance(101): 	 4.647461 5.473633 0.999600 
Instance(102): 	 4.348633 5.596680 0.987811 
Instance(103): 	 4.788086 5.438477 0.999913 
Instance(104): 	 4.401367 5.543945 0.993730 
Instance(105): 	 4.489258 5.596680 0.994448 
Instance(106): 	 4.594727 5.561523 0.996995 
Instance(107): 	 4.401367 5.508789 0.994333 
Instance(108): 	 4.682617 5.456055 0.999780 
Instance(109): 	 4.612305 5.491211 0.999325 
Instance(110): 	 4.489258 5.561523 0.996424 
Instance(111): 	 4.577148 5.508789 0.998911 
Instance(112): 	 4.682617 5.491211 0.999371 
Instance(113): 	 4.700195 5.561523 0.996601 
Instance(114): 	 4.717773 5.491211 0.999380 
Instance(115): 	 4.770508 5.543945 0.997437 
Instance(116): 	 4.577148 5.631836 0.990921 
Instance(117): 	 4.506836 5.631836 0.991496 
Instance(118): 	 4.577148 5.596680 0.994612 
Instance(119): 	 4.752930 5.526367 0.998372 
Instance(120): 	 4.541992 5.438477 0.999559 
Instance(121): 	 4.735352 5.473633 0.999642 
Instance(122): 	 4.665039 5.438477 0.999871 
Instance(123): 	 4.752930 5.473633 0.999649 
Instance(124): 	 4.471680 5.473633 0.998112 
Instance(125): 	 4.577148 5.508789 0.998911 
Instance(126): 	 4.700195 5.508789 0.998996 
Instance(127): 	 4.331055 5.456055 0.986096 
Instance(128): 	 4.700195 5.456055 0.999788 
Instance(129): 	 4.541992 5.526367 0.998294 
Instance(130): 	 4.647461 5.526367 0.998491 
Instance(131): 	 4.682617 5.491211 0.999371 
Instance(132): 	 4.418945 5.579102 0.993510 
Instance(133): 	 4.682617 5.579102 0.995343 
Instance(134): 	 4.471680 5.543945 0.996739 
Instance(135): 	 4.471680 5.543945 0.996739 
Instance(136): 	 4.471680 5.561523 0.996078 
Instance(137): 	 4.524414 5.456055 0.999281 
Instance(138): 	 4.717773 5.473633 0.999635 
Instance(139): 	 4.665039 5.596680 0.993824 
Instance(140): 	 4.524414 5.456055 0.999281 
Instance(141): 	 4.577148 5.596680 0.994612 
Instance(142): 	 4.629883 5.438477 0.999848 
Instance(143): 	 4.700195 5.420898 0.999941 
Instance(144): 	 4.647461 5.491211 0.999357 
Instance(145): 	 4.454102 5.526367 0.996720 
Instance(146): 	 4.348633 5.526367 0.989238 
Instance(147): 	 4.717773 5.526367 0.998421 
Instance(148): 	 4.559570 5.561523 0.996993 
Instance(149): 	 4.541992 5.596680 0.994719 
Instance(150): 	 4.471680 5.491211 0.997912 
Instance(151): 	 4.612305 5.403320 0.999932 
Instance(152): 	 4.454102 5.438477 0.997714 
Instance(153): 	 4.752930 5.491211 0.999388 
Instance(154): 	 4.717773 5.614258 0.990686 
Instance(155): 	 4.489258 5.473633 0.998557 
Instance(156): 	 4.348633 5.438477 0.988497 
Instance(157): 	 4.647461 5.543945 0.997789 
Instance(158): 	 4.717773 5.684570 0.974538 
Instance(159): 	 4.735352 5.456055 0.999802 
Instance(160): 	 4.770508 5.543945 0.997437 
Instance(161): 	 4.594727 5.543945 0.997842 
Instance(162): 	 4.577148 5.508789 0.998911 
Instance(163): 	 4.682617 5.456055 0.999780 
Instance(164): 	 4.506836 5.491211 0.998663 
Instance(165): 	 4.647461 5.561523 0.996845 
Instance(166): 	 4.559570 5.631836 0.991151 
Instance(167): 	 4.629883 5.543945 0.997818 
Instance(168): 	 4.629883 5.491211 0.999345 
Instance(169): 	 4.612305 5.526367 0.998497 
Instance(170): 	 4.489258 5.561523 0.996424 
Instance(171): 	 4.665039 5.526367 0.998478 
Instance(172): 	 4.788086 5.473633 0.999664 
Instance(173): 	 4.524414 5.456055 0.999281 
Instance(174): 	 4.629883 5.543945 0.997818 
Instance(175): 	 4.577148 5.508789 0.998911 
Instance(176): 	 4.770508 5.561523 0.996170 
Instance(177): 	 4.577148 5.614258 0.992950 
Instance(178): 	 4.577148 5.508789 0.998911 
Instance(179): 	 4.717773 5.614258 0.990686 
Instance(180): 	 4.805664 5.579102 0.993997 
Instance(181): 	 4.541992 5.543945 0.997707 
Instance(182): 	 4.541992 5.473633 0.999288 
Instance(183): 	 4.577148 5.561523 0.997008 
Instance(184): 	 4.489258 5.561523 0.996424 
Instance(185): 	 4.647461 5.508789 0.999000 
Instance(186): 	 4.348633 5.666992 0.983318 
Instance(187): 	 4.594727 5.684570 0.981509 
Instance(188): 	 4.401367 5.473633 0.994555 
Instance(189): 	 4.612305 5.526367 0.998497 
Instance(190): 	 4.665039 5.526367 0.998478 
Instance(191): 	 4.665039 5.491211 0.999365 
Instance(192): 	 4.559570 5.561523 0.996993 
Instance(193): 	 4.629883 5.596680 0.994206 
Instance(194): 	 4.541992 5.666992 0.986459 
Instance(195): 	 4.770508 5.403320 0.999981 
Instance(196): 	 4.506836 5.508789 0.998356 
Instance(197): 	 4.594727 5.561523 0.996995 
Instance(198): 	 4.489258 5.579102 0.995546 
Instance(199): 	 4.717773 5.508789 0.998991 
Instance(200): 	 4.594727 5.561523 0.996995 
Instance(201): 	 4.629883 5.526367 0.998498 
Instance(202): 	 4.682617 5.631836 0.988711 
Instance(203): 	 4.524414 5.456055 0.999281 
Instance(204): 	 4.559570 5.579102 0.995973 
Instance(205): 	 4.612305 5.508789 0.998980 
Instance(206): 	 4.629883 5.473633 0.999585 
Instance(207): 	 4.752930 5.561523 0.996289 
Instance(208): 	 4.647461 5.614258 0.992037 
Instance(209): 	 4.594727 5.491211 0.999293 
Instance(210): 	 4.629883 5.508789 0.998994 
Instance(211): 	 4.594727 5.403320 0.999906 
Instance(212): 	 4.665039 5.473633 0.999611 
Instance(213): 	 4.559570 5.420898 0.999745 
Instance(214): 	 4.506836 5.561523 0.996670 
Instance(215): 	 4.471680 5.596680 0.994186 
Instance(216): 	 4.840820 5.543945 0.997138 
Instance(217): 	 4.665039 5.456055 0.999771 
Instance(218): 	 4.717773 5.438477 0.999891 
Instance(219): 	 4.612305 5.596680 0.994367 
Instance(220): 	 4.735352 5.561523 0.996401 
Instance(221): 	 4.665039 5.543945 0.997752 
Instance(222): 	 4.541992 5.649414 0.989098 
Instance(223): 	 4.243164 5.438477 0.963887 
Instance(224): 	 4.629883 5.420898 0.999911 
Instance(225): 	 4.647461 5.473633 0.999600 
Instance(226): 	 4.665039 5.420898 0.999930 
Instance(227): 	 4.665039 5.473633 0.999611 
Instance(228): 	 4.647461 5.543945 0.997789 
Instance(229): 	 4.770508 5.526367 0.998346 
Instance(230): 	 4.647461 5.526367 0.998491 
Instance(231): 	 4.541992 5.526367 0.998294 
Instance(232): 	 4.594727 5.526367 0.998482 
Instance(233): 	 4.594727 5.561523 0.996995 
Instance(234): 	 4.454102 5.631836 0.991078 
Instance(235): 	 4.805664 5.508789 0.998961 
Instance(236): 	 4.541992 5.420898 0.999632 
Instance(237): 	 4.366211 5.456055 0.991082 
Instance(238): 	 4.506836 5.420898 0.999219 
Instance(239): 	 4.401367 5.561523 0.993237 
Instance(240): 	 4.594727 5.649414 0.988089 
Instance(241): 	 4.665039 5.491211 0.999365 
Instance(242): 	 4.665039 5.456055 0.999771 
Instance(243): 	 4.594727 5.420898 0.999864 
Instance(244): 	 4.454102 5.543945 0.996239 
Instance(245): 	 4.612305 5.491211 0.999325 
Instance(246): 	 4.577148 5.561523 0.997008 
Instance(247): 	 4.278320 5.491211 0.976763 
Instance(248): 	 4.612305 5.579102 0.995819 
Instance(249): 	 4.559570 5.456055 0.999564 
Instance(250): 	 4.559570 5.543945 0.997786 
Instance(251): 	 4.524414 5.491211 0.998894 
Instance(252): 	 4.489258 5.543945 0.997114 
Instance(253): 	 4.665039 5.491211 0.999365 
Instance(254): 	 4.629883 5.508789 0.998994 
Instance(255): 	 4.752930 5.666992 0.977467 
Instance(256): 	 4.594727 5.526367 0.998482 
Instance(257): 	 4.612305 5.491211 0.999325 
Instance(258): 	 4.717773 5.456055 0.999795 
Instance(259): 	 4.629883 5.491211 0.999345 
Instance(260): 	 4.700195 5.403320 0.999971 
Instance(261): 	 4.577148 5.491211 0.999244 
Instance(262): 	 4.489258 5.473633 0.998557 
Instance(263): 	 4.366211 5.473633 0.991218 
Instance(264): 	 4.594727 5.473633 0.999530 
Instance(265): 	 4.541992 5.543945 0.997707 
Instance(266): 	 4.682617 5.456055 0.999780 
Instance(267): 	 4.612305 5.579102 0.995819 
Instance(268): 	 4.665039 5.526367 0.998478 
Instance(269): 	 4.577148 5.491211 0.999244 
Instance(270): 	 4.489258 5.526367 0.997646 
Instance(271): 	 4.506836 5.561523 0.996670 
Instance(272): 	 4.647461 5.596680 0.994024 
Instance(273): 	 4.647461 5.614258 0.992037 
Instance(274): 	 4.665039 5.614258 0.991740 
Instance(275): 	 4.577148 5.526367 0.998450 
Instance(276): 	 4.665039 5.438477 0.999871 
Instance(277): 	 4.612305 5.438477 0.999828 
Instance(278): 	 4.506836 5.491211 0.998663 
Instance(279): 	 4.629883 5.403320 0.999948 
Instance(280): 	 4.524414 5.561523 0.996837 
Instance(281): 	 4.559570 5.508789 0.998841 
Instance(282): 	 4.823242 5.649414 0.978083 
Instance(283): 	 4.700195 5.491211 0.999376 
Instance(284): 	 4.700195 5.491211 0.999376 
Instance(285): 	 4.559570 5.596680 0.994687 
Instance(286): 	 4.752930 5.456055 0.999809 
Instance(287): 	 4.524414 5.526367 0.998149 
Instance(288): 	 4.506836 5.508789 0.998356 
Instance(289): 	 4.471680 5.350586 0.998422 
Instance(290): 	 4.735352 5.456055 0.999802 
Instance(291): 	 4.577148 5.491211 0.999244 
Instance(292): 	 4.418945 5.526367 0.995170 
Instance(293): 	 4.700195 5.614258 0.991065 
Instance(294): 	 4.700195 5.473633 0.999628 
Instance(295): 	 4.418945 5.473633 0.995779 
Instance(296): 	 4.752930 5.543945 0.997500 
Instance(297): 	 4.665039 5.508789 0.999001 
Instance(298): 	 4.647461 5.526367 0.998491 
Instance(299): 	 4.436523 5.508789 0.996368 
Instance(300): 	 4.770508 5.526367 0.998346 
Instance(301): 	 4.594727 5.473633 0.999530 
Instance(302): 	 4.752930 5.579102 0.994663 
Instance(303): 	 4.577148 5.526367 0.998450 
Instance(304): 	 4.594727 5.526367 0.998482 
Instance(305): 	 4.717773 5.508789 0.998991 
Instance(306): 	 4.524414 5.579102 0.995888 
Instance(307): 	 4.559570 5.438477 0.999673 
Instance(308): 	 4.489258 5.473633 0.998557 
Instance(309): 	 4.770508 5.596680 0.992214 
Instance(310): 	 4.577148 5.473633 0.999479 
Instance(311): 	 4.418945 5.543945 0.994762 
Instance(312): 	 4.700195 5.596680 0.993369 
Instance(313): 	 4.594727 5.508789 0.998954 
Instance(314): 	 4.524414 5.596680 0.994699 
Instance(315): 	 4.700195 5.614258 0.991065 
Instance(316): 	 4.418945 5.473633 0.995779 
Instance(317): 	 4.700195 5.543945 0.997663 
Instance(318): 	 4.629883 5.508789 0.998994 
Instance(319): 	 4.559570 5.526367 0.998390 
Instance(320): 	 4.612305 5.543945 0.997837 
Instance(321): 	 4.612305 5.473633 0.999563 
Instance(322): 	 4.577148 5.473633 0.999479 
Instance(323): 	 4.489258 5.579102 0.995546 
Instance(324): 	 4.700195 5.438477 0.999885 
Instance(325): 	 4.401367 5.491211 0.994483 
Instance(326): 	 4.647461 5.403320 0.999958 
Instance(327): 	 4.629883 5.491211 0.999345 
Instance(328): 	 4.647461 5.543945 0.997789 
Instance(329): 	 4.436523 5.561523 0.994999 
Instance(330): 	 4.717773 5.579102 0.995028 
Instance(331): 	 4.454102 5.473633 0.997523 
Instance(332): 	 4.559570 5.473633 0.999402 
Instance(333): 	 4.559570 5.526367 0.998390 
Instance(334): 	 4.717773 5.473633 0.999635 
Instance(335): 	 4.577148 5.596680 0.994612 
Instance(336): 	 4.577148 5.508789 0.998911 
Instance(337): 	 4.366211 5.420898 0.990641 
Instance(338): 	 4.489258 5.526367 0.997646 
Instance(339): 	 4.717773 5.666992 0.979658 
Instance(340): 	 4.559570 5.631836 0.991151 
Instance(341): 	 4.665039 5.614258 0.991740 
Instance(342): 	 4.471680 5.438477 0.998339 
Instance(343): 	 4.594727 5.473633 0.999530 
Instance(344): 	 4.172852 5.438477 0.936148 
Instance(345): 	 4.594727 5.456055 0.999691 
Instance(346): 	 4.805664 5.473633 0.999672 
Instance(347): 	 4.594727 5.526367 0.998482 
Instance(348): 	 4.471680 5.508789 0.997631 
Instance(349): 	 4.752930 5.526367 0.998372 
Instance(350): 	 4.524414 5.420898 0.999464 
Instance(351): 	 4.559570 5.491211 0.999169 
Instance(352): 	 4.717773 5.473633 0.999635 
Instance(353): 	 4.366211 5.438477 0.990887 
Instance(354): 	 4.401367 5.491211 0.994483 
Instance(355): 	 4.629883 5.579102 0.995722 
Instance(356): 	 4.682617 5.579102 0.995343 
Instance(357): 	 4.665039 5.491211 0.999365 
Instance(358): 	 4.559570 5.596680 0.994687 
Instance(359): 	 4.418945 5.543945 0.994762 
Instance(360): 	 4.348633 5.526367 0.989238 
Instance(361): 	 4.559570 5.385742 0.999821 
Instance(362): 	 4.559570 5.561523 0.996993 
Instance(363): 	 4.577148 5.420898 0.999818 
Instance(364): 	 4.700195 5.526367 0.998442 
Instance(365): 	 4.629883 5.508789 0.998994 
Instance(366): 	 4.647461 5.473633 0.999600 
Instance(367): 	 4.788086 5.508789 0.998968 
Instance(368): 	 4.471680 5.561523 0.996078 
Instance(369): 	 4.383789 5.526367 0.992760 
Instance(370): 	 4.559570 5.491211 0.999169 
Instance(371): 	 4.629883 5.456055 0.999745 
Instance(372): 	 4.647461 5.596680 0.994024 
Instance(373): 	 4.752930 5.596680 0.992538 
Instance(374): 	 4.524414 5.491211 0.998894 
Instance(375): 	 4.454102 5.543945 0.996239 
Instance(376): 	 4.366211 5.561523 0.990570 
Instance(377): 	 4.665039 5.719727 0.967253 
Instance(378): 	 4.700195 5.456055 0.999788 
Instance(379): 	 4.665039 5.631836 0.989169 
Instance(380): 	 4.665039 5.456055 0.999771 
Instance(381): 	 4.436523 5.473633 0.996756 
Instance(382): 	 4.682617 5.403320 0.999968 
Instance(383): 	 4.647461 5.543945 0.997789 
Instance(384): 	 4.665039 5.508789 0.999001 
Instance(385): 	 4.594727 5.491211 0.999293 
Instance(386): 	 4.629883 5.473633 0.999585 
Instance(387): 	 4.594727 5.456055 0.999691 
Instance(388): 	 4.594727 5.526367 0.998482 
Instance(389): 	 4.770508 5.403320 0.999981 
Instance(390): 	 4.506836 5.491211 0.998663 
Instance(391): 	 4.717773 5.456055 0.999795 
Instance(392): 	 4.752930 5.543945 0.997500 
Instance(393): 	 4.752930 5.526367 0.998372 
Instance(394): 	 4.647461 5.543945 0.997789 
Instance(395): 	 4.559570 5.526367 0.998390 
Instance(396): 	 4.665039 5.596680 0.993824 
Instance(397): 	 4.577148 5.543945 0.997828 
Instance(398): 	 4.401367 5.684570 0.983993 
Instance(399): 	 4.559570 5.438477 0.999673 
Instance(400): 	 4.401367 5.526367 0.994088 
Instance(401): 	 4.647461 5.456055 0.999760 
Instance(402): 	 4.577148 5.526367 0.998450 
Instance(403): 	 4.647461 5.526367 0.998491 
Instance(404): 	 4.541992 5.403320 0.999681 
Instance(405): 	 4.401367 5.403320 0.994314 
Instance(406): 	 4.735352 5.438477 0.999897 
Instance(407): 	 4.752930 5.561523 0.996289 
Instance(408): 	 4.559570 5.403320 0.999791 
Instance(409): 	 4.559570 5.579102 0.995973 
Instance(410): 	 4.577148 5.508789 0.998911 
Instance(411): 	 4.612305 5.561523 0.996960 
Instance(412): 	 4.541992 5.526367 0.998294 
Instance(413): 	 4.665039 5.491211 0.999365 
Instance(414): 	 4.436523 5.649414 0.988994 
Instance(415): 	 4.735352 5.491211 0.999384 
Instance(416): 	 4.647461 5.807617 0.930959 
Instance(417): 	 4.577148 5.526367 0.998450 
Instance(418): 	 4.612305 5.614258 0.992554 
Instance(419): 	 4.665039 5.526367 0.998478 
Instance(420): 	 4.665039 5.596680 0.993824 
Instance(421): 	 4.770508 5.543945 0.997437 
Instance(422): 	 4.752930 5.631836 0.986465 
Instance(423): 	 4.524414 5.543945 0.997579 
Instance(424): 	 4.313477 5.438477 0.982373 
Instance(425): 	 4.647461 5.456055 0.999760 
Instance(426): 	 4.577148 5.420898 0.999818 
Instance(427): 	 4.629883 5.491211 0.999345 
Instance(428): 	 4.594727 5.508789 0.998954 
Instance(429): 	 4.471680 5.543945 0.996739 
Instance(430): 	 4.489258 5.508789 0.998047 
Instance(431): 	 4.506836 5.526367 0.997939 
Instance(432): 	 4.471680 5.491211 0.997912 
Instance(433): 	 4.629883 5.526367 0.998498 
Instance(434): 	 4.770508 5.543945 0.997437 
Instance(435): 	 4.559570 5.526367 0.998390 
Instance(436): 	 4.700195 5.491211 0.999376 
Instance(437): 	 4.594727 5.508789 0.998954 
Instance(438): 	 4.665039 5.491211 0.999365 
Instance(439): 	 4.647461 5.561523 0.996845 
Instance(440): 	 4.594727 5.473633 0.999530 
Instance(441): 	 4.331055 5.543945 0.986942 
Instance(442): 	 4.735352 5.508789 0.998986 
Instance(443): 	 4.665039 5.561523 0.996772 
Instance(444): 	 4.577148 5.684570 0.982205 
Instance(445): 	 4.436523 5.543945 0.995589 
Instance(446): 	 4.594727 5.561523 0.996995 
Instance(447): 	 4.717773 5.543945 0.997613 
Instance(448): 	 4.647461 5.596680 0.994024 
Instance(449): 	 4.629883 5.596680 0.994206 
Instance(450): 	 4.665039 5.456055 0.999771 
Instance(451): 	 4.559570 5.543945 0.997786 
Instance(452): 	 4.577148 5.543945 0.997828 
Instance(453): 	 4.594727 5.579102 0.995897 
Instance(454): 	 4.788086 5.473633 0.999664 
Instance(455): 	 4.700195 5.561523 0.996601 
Instance(456): 	 4.752930 5.420898 0.999953 
Instance(457): 	 4.717773 5.526367 0.998421 
Instance(458): 	 4.788086 5.631836 0.985036 
Instance(459): 	 4.594727 5.614258 0.992769 
Instance(460): 	 4.629883 5.491211 0.999345 
Instance(461): 	 4.717773 5.491211 0.999380 
Instance(462): 	 4.331055 5.579102 0.986448 
Instance(463): 	 4.524414 5.420898 0.999464 
Instance(464): 	 4.594727 5.508789 0.998954 
Instance(465): 	 4.541992 5.543945 0.997707 
Instance(466): 	 4.577148 5.543945 0.997828 
Instance(467): 	 4.541992 5.561523 0.996940 
Instance(468): 	 4.700195 5.561523 0.996601 
Instance(469): 	 4.594727 5.526367 0.998482 
Instance(470): 	 4.506836 5.543945 0.997387 
Instance(471): 	 4.577148 5.526367 0.998450 
Instance(472): 	 4.577148 5.526367 0.998450 
Instance(473): 	 4.717773 5.579102 0.995028 
Instance(474): 	 4.735352 5.631836 0.987096 
Instance(475): 	 4.577148 5.526367 0.998450 
Instance(476): 	 4.629883 5.526367 0.998498 
Instance(477): 	 4.594727 5.491211 0.999293 
Instance(478): 	 4.823242 5.526367 0.998256 
Instance(479): 	 4.559570 5.508789 0.998841 
Instance(480): 	 4.401367 5.491211 0.994483 
Instance(481): 	 4.770508 5.491211 0.999392 
Instance(482): 	 4.735352 5.456055 0.999802 
Instance(483): 	 4.489258 5.543945 0.997114 
Instance(484): 	 4.629883 5.614258 0.992309 
Instance(485): 	 4.541992 5.526367 0.998294 
Instance(486): 	 4.559570 5.491211 0.999169 
Instance(487): 	 4.577148 5.491211 0.999244 
Instance(488): 	 4.665039 5.491211 0.999365 
Instance(489): 	 4.612305 5.596680 0.994367 
Instance(490): 	 4.735352 5.456055 0.999802 
Instance(491): 	 4.594727 5.526367 0.998482 
Instance(492): 	 4.524414 5.614258 0.993231 
Instance(493): 	 4.700195 5.491211 0.999376 
Instance(494): 	 4.735352 5.543945 0.997558 
Instance(495): 	 4.524414 5.754883 0.967303 
Instance(496): 	 4.436523 5.438477 0.996894 
Instance(497): 	 4.471680 5.491211 0.997912 
Instance(498): 	 4.594727 5.561523 0.996995 
Instance(499): 	 4.594727 5.368164 0.999946 
Instance(500): 	 4.665039 5.561523 0.996772 
Instance(501): 	 4.647461 5.526367 0.998491 
Instance(502): 	 4.489258 5.438477 0.998807 
Instance(503): 	 4.348633 5.508789 0.989263 
Instance(504): 	 4.594727 5.491211 0.999293 
Instance(505): 	 4.489258 5.543945 0.997114 
Instance(506): 	 4.471680 5.561523 0.996078 
Instance(507): 	 4.348633 5.491211 0.989190 
Instance(508): 	 4.489258 5.491211 0.998344 
Instance(509): 	 4.647461 5.526367 0.998491 
Instance(510): 	 4.629883 5.526367 0.998498 
Instance(511): 	 4.717773 5.561523 0.996505 
Instance(512): 	 4.348633 5.596680 0.987811 
Instance(513): 	 4.577148 5.649414 0.988480 
Instance(514): 	 4.717773 5.579102 0.995028 
Instance(515): 	 4.524414 5.491211 0.998894 
Instance(516): 	 4.612305 5.438477 0.999828 
Instance(517): 	 4.665039 5.473633 0.999611 
Instance(518): 	 4.331055 5.543945 0.986942 
Instance(519): 	 4.594727 5.456055 0.999691 
Instance(520): 	 4.541992 5.473633 0.999288 
Instance(521): 	 4.489258 5.438477 0.998807 
Instance(522): 	 4.647461 5.491211 0.999357 
Instance(523): 	 4.559570 5.543945 0.997786 
Instance(524): 	 4.436523 5.368164 0.996784 
Instance(525): 	 4.225586 5.368164 0.949553 
Instance(526): 	 4.594727 5.579102 0.995897 
Instance(527): 	 4.559570 5.579102 0.995973 
Instance(528): 	 4.541992 5.684570 0.983378 
Instance(529): 	 4.506836 5.385742 0.999295 
Instance(530): 	 4.506836 5.491211 0.998663 
Instance(531): 	 4.612305 5.456055 0.999724 
Instance(532): 	 4.717773 5.561523 0.996505 
Instance(533): 	 4.629883 5.526367 0.998498 
Instance(534): 	 4.366211 5.508789 0.991267 
Instance(535): 	 4.717773 5.438477 0.999891 
Instance(536): 	 4.348633 5.508789 0.989263 
Instance(537): 	 4.717773 5.508789 0.998991 
Instance(538): 	 4.577148 5.579102 0.995950 
Instance(539): 	 4.506836 5.456055 0.999041 
Instance(540): 	 4.594727 5.526367 0.998482 
Instance(541): 	 4.541992 5.543945 0.997707 
Instance(542): 	 4.665039 5.526367 0.998478 
Instance(543): 	 4.629883 5.420898 0.999911 
Instance(544): 	 4.577148 5.473633 0.999479 
Instance(545): 	 4.752930 5.385742 0.999991 
Instance(546): 	 4.577148 5.543945 0.997828 
Instance(547): 	 4.541992 5.561523 0.996940 
Instance(548): 	 4.700195 5.456055 0.999788 
Instance(549): 	 4.559570 5.438477 0.999673 
Instance(550): 	 4.717773 5.561523 0.996505 
Instance(551): 	 4.647461 5.473633 0.999600 
Instance(552): 	 4.612305 5.543945 0.997837 
Instance(553): 	 4.454102 5.491211 0.997341 
Instance(554): 	 4.717773 5.666992 0.979658 
Instance(555): 	 4.735352 5.543945 0.997558 
Instance(556): 	 4.594727 5.579102 0.995897 
Instance(557): 	 4.682617 5.491211 0.999371 
Instance(558): 	 4.577148 5.543945 0.997828 
